                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7999,                 2.9193,                   3.44,                 0.8653,                 0.8362,                0.91158,                 0.4641,                 1.6777,                 1.4985,                  2.298,              0.0033307,              0.0033307,              0.0033307
                      2,                 1.5923,                 1.2268,                 1.9896,                0.98015,                0.96722,                0.98534,                0.73168,                0.97538,                0.72562,                 1.4351,               0.006598,               0.006598,               0.006598
                      3,                 1.2575,                0.87606,                 1.5873,                0.98147,                0.97449,                0.99197,                0.77465,                0.84778,                0.54524,                 1.2737,              0.0097994,              0.0097994,              0.0097994
                      4,                  1.063,                0.70613,                 1.3945,                0.98382,                0.98279,                 0.9941,                0.81972,                0.70671,                  0.434,                 1.1437,               0.009703,               0.009703,               0.009703
                      5,                0.96121,                0.61059,                 1.3035,                0.99104,                0.98398,                 0.9947,                0.83784,                0.66265,                0.39203,                 1.1007,               0.009604,               0.009604,               0.009604
                      6,                0.89614,                0.55935,                  1.254,                0.98169,                0.98872,                 0.9937,                0.85179,                0.63264,                0.37567,                 1.0709,               0.009505,               0.009505,               0.009505
                      7,                0.84902,                0.52533,                 1.2169,                0.98767,                0.98932,                0.99407,                0.85655,                 0.6275,                0.36417,                 1.0551,               0.009406,               0.009406,               0.009406
                      8,                0.82518,                0.50301,                 1.1959,                0.99556,                0.99169,                0.99466,                0.86808,                0.59783,                0.34376,                 1.0326,               0.009307,               0.009307,               0.009307
                      9,                0.80599,                0.48265,                 1.1811,                0.99614,                0.99347,                0.99471,                0.86648,                0.58129,                0.32667,                 1.0283,               0.009208,               0.009208,               0.009208
                     10,                0.78083,                0.46518,                 1.1625,                0.99699,                0.99466,                0.99484,                0.88248,                0.56522,                0.30584,                 1.0099,               0.009109,               0.009109,               0.009109
                     11,                0.76905,                0.44936,                 1.1561,                0.99114,                0.99603,                0.99481,                0.88058,                0.55955,                0.29398,                 1.0058,                0.00901,                0.00901,                0.00901
                     12,                0.75341,                0.44188,                 1.1452,                0.99643,                0.99525,                0.99494,                0.88872,                 0.5504,                0.29212,                0.99657,               0.008911,               0.008911,               0.008911
                     13,                0.74287,                0.43482,                 1.1364,                0.99762,                0.99696,                0.99486,                0.88557,                0.53926,                0.28286,                0.99346,               0.008812,               0.008812,               0.008812
                     14,                0.73334,                 0.4252,                 1.1322,                0.99762,                0.99512,                0.99486,                0.88818,                0.54605,                0.28107,                0.99732,               0.008713,               0.008713,               0.008713
                     15,                0.72953,                0.42083,                 1.1279,                0.99307,                0.99407,                0.99485,                0.89086,                0.54496,                0.28527,                0.99186,               0.008614,               0.008614,               0.008614
                     16,                 0.7176,                0.41273,                 1.1189,                0.99821,                0.99521,                0.99471,                 0.8915,                0.52707,                0.27483,                0.98127,               0.008515,               0.008515,               0.008515
                     17,                0.71114,                0.40929,                 1.1176,                0.99819,                0.99644,                0.99487,                0.89159,                0.53025,                 0.2702,                0.98205,               0.008416,               0.008416,               0.008416
                     18,                 0.7008,                 0.3985,                 1.1067,                0.99881,                0.99523,                0.99477,                0.89207,                0.52552,                0.26615,                0.97798,               0.008317,               0.008317,               0.008317
                     19,                0.69567,                0.39637,                 1.1035,                0.99762,                0.99689,                0.99479,                0.89854,                0.52039,                0.25854,                0.97057,               0.008218,               0.008218,               0.008218
                     20,                0.69032,                0.39073,                 1.0986,                0.99707,                0.99703,                0.99483,                0.89545,                0.52298,                0.25704,                0.97813,               0.008119,               0.008119,               0.008119
                     21,                0.68733,                0.38595,                 1.0996,                 0.9981,                0.99703,                0.99484,                0.89452,                0.51316,                0.25434,                0.97161,                0.00802,                0.00802,                0.00802
                     22,                0.67907,                0.38026,                 1.0952,                0.99783,                0.99466,                0.99494,                 0.8979,                0.51098,                0.25291,                0.96917,               0.007921,               0.007921,               0.007921
                     23,                0.67401,                0.37356,                 1.0843,                0.99636,                0.99703,                0.99492,                0.90471,                0.50536,                 0.2463,                0.96308,               0.007822,               0.007822,               0.007822
                     24,                0.67251,                0.37678,                 1.0906,                0.99788,                0.99644,                0.99493,                0.90208,                0.50487,                0.24266,                0.96319,               0.007723,               0.007723,               0.007723
                     25,                0.66277,                0.36957,                 1.0824,                0.99821,                 0.9948,                0.99492,                0.89886,                0.50676,                0.24259,                0.96611,               0.007624,               0.007624,               0.007624
                     26,                0.66067,                0.36554,                 1.0804,                0.99644,                0.99624,                0.99483,                0.90545,                0.50344,                0.24347,                0.95955,               0.007525,               0.007525,               0.007525
                     27,                0.65905,                0.36061,                 1.0773,                 0.9978,                0.99585,                0.99487,                0.90739,                0.50442,                0.23668,                0.96355,               0.007426,               0.007426,               0.007426
                     28,                0.65643,                0.36305,                 1.0773,                0.99822,                0.99698,                0.99478,                0.90443,                0.49642,                0.23513,                0.95352,               0.007327,               0.007327,               0.007327
                     29,                0.64981,                0.35564,                 1.0698,                0.99818,                0.99644,                0.99494,                0.90815,                0.49949,                0.23643,                0.95682,               0.007228,               0.007228,               0.007228
                     30,                0.65184,                0.35669,                 1.0717,                0.99763,                0.99755,                0.99486,                0.91175,                0.49417,                0.23136,                0.95631,               0.007129,               0.007129,               0.007129
                     31,                0.64352,                0.35358,                 1.0686,                0.99754,                0.99763,                 0.9949,                0.90877,                0.49289,                0.22733,                0.95436,                0.00703,                0.00703,                0.00703
                     32,                0.64151,                 0.3502,                 1.0639,                0.99762,                0.99634,                0.99474,                0.90983,                0.48923,                0.22503,                0.95312,               0.006931,               0.006931,               0.006931
                     33,                0.63917,                0.34643,                 1.0645,                0.99776,                0.99585,                0.99478,                0.91276,                0.48685,                0.22363,                0.95184,               0.006832,               0.006832,               0.006832
                     34,                0.63573,                0.34201,                 1.0632,                0.99762,                0.99583,                0.99481,                0.91177,                 0.4876,                0.22321,                0.94799,               0.006733,               0.006733,               0.006733
                     35,                0.63726,                0.34686,                 1.0609,                0.99729,                0.99585,                0.99485,                0.91109,                0.48727,                0.22204,                0.95162,               0.006634,               0.006634,               0.006634
                     36,                0.62562,                0.33919,                 1.0546,                0.99747,                0.99644,                0.99491,                0.91015,                0.48096,                0.22168,                0.94665,               0.006535,               0.006535,               0.006535
                     37,                0.62445,                0.34216,                 1.0532,                0.99753,                0.99644,                0.99486,                 0.9117,                0.48242,                0.21854,                0.94702,               0.006436,               0.006436,               0.006436
                     38,                0.62651,                0.33846,                 1.0559,                0.99717,                0.99644,                0.99483,                0.91376,                0.48338,                0.21829,                0.94894,               0.006337,               0.006337,               0.006337
                     39,                0.62448,                0.33293,                 1.0534,                0.99803,                0.99644,                0.99492,                0.91604,                  0.477,                0.21421,                0.94404,               0.006238,               0.006238,               0.006238
                     40,                0.61844,                0.33157,                  1.049,                0.99762,                0.99637,                0.99481,                0.91158,                0.47773,                0.21634,                0.94376,               0.006139,               0.006139,               0.006139
                     41,                 0.6164,                0.32726,                 1.0462,                0.99644,                0.99743,                0.99487,                0.91525,                0.47341,                0.21221,                 0.9396,                0.00604,                0.00604,                0.00604
                     42,                0.61163,                0.32487,                 1.0461,                0.99763,                0.99719,                0.99496,                0.91395,                0.47425,                0.20976,                0.93979,               0.005941,               0.005941,               0.005941
                     43,                0.61587,                 0.3275,                 1.0488,                0.99762,                0.99659,                 0.9949,                0.91085,                0.47123,                0.21101,                0.93979,               0.005842,               0.005842,               0.005842
                     44,                0.60704,                 0.3236,                 1.0455,                0.99756,                0.99644,                0.99488,                0.91426,                 0.4709,                0.21025,                0.93888,               0.005743,               0.005743,               0.005743
                     45,                0.60519,                0.31881,                   1.04,                0.99581,                0.99763,                0.99486,                0.91932,                0.46884,                0.21007,                0.93567,               0.005644,               0.005644,               0.005644
                     46,                0.60586,                0.31929,                 1.0377,                0.99832,                0.99466,                0.99495,                0.91866,                0.46707,                0.20792,                0.93647,               0.005545,               0.005545,               0.005545
                     47,                0.60532,                 0.3214,                 1.0399,                0.99799,                0.99585,                0.99489,                 0.9178,                0.46901,                0.20569,                0.93751,               0.005446,               0.005446,               0.005446
                     48,                0.60356,                0.31942,                 1.0375,                0.99762,                0.99623,                0.99487,                0.91924,                0.46977,                0.20649,                0.93778,               0.005347,               0.005347,               0.005347
                     49,                0.60422,                0.31853,                 1.0365,                0.99758,                0.99585,                0.99474,                0.91877,                0.46673,                0.20512,                0.93709,               0.005248,               0.005248,               0.005248
                     50,                0.59951,                0.31689,                  1.036,                0.99703,                0.99627,                0.99482,                0.91628,                0.46748,                0.20438,                0.93831,               0.005149,               0.005149,               0.005149
                     51,                0.59931,                 0.3156,                 1.0324,                0.99738,                0.99585,                0.99486,                0.91747,                0.46803,                0.20372,                  0.938,                0.00505,                0.00505,                0.00505
                     52,                0.59968,                0.31372,                 1.0356,                0.99759,                0.99585,                0.99486,                0.91766,                0.46285,                0.20106,                0.93443,               0.004951,               0.004951,               0.004951
                     53,                0.59084,                0.30956,                 1.0283,                0.99762,                0.99555,                0.99483,                 0.9145,                0.46433,                0.20195,                0.93255,               0.004852,               0.004852,               0.004852
                     54,                0.58733,                 0.3057,                  1.025,                0.99698,                0.99585,                0.99477,                0.91745,                0.46563,                0.20074,                0.93248,               0.004753,               0.004753,               0.004753
                     55,                0.58773,                0.30744,                  1.024,                0.99468,                0.99841,                0.99478,                0.92017,                0.46541,                0.19997,                0.93314,               0.004654,               0.004654,               0.004654
                     56,                0.58101,                0.30347,                 1.0261,                0.99744,                0.99644,                0.99478,                0.91902,                0.46307,                 0.1987,                0.93268,               0.004555,               0.004555,               0.004555
                     57,                0.58498,                0.30443,                 1.0281,                0.99706,                0.99644,                0.99475,                 0.9186,                0.46251,                0.19925,                0.93229,               0.004456,               0.004456,               0.004456
                     58,                0.58091,                0.30237,                 1.0262,                0.99677,                0.99644,                0.99477,                  0.915,                0.46324,                0.19931,                0.93219,               0.004357,               0.004357,               0.004357
                     59,                0.57845,                0.29599,                 1.0228,                0.99755,                0.99644,                0.99481,                0.91595,                0.46125,                0.19889,                0.93224,               0.004258,               0.004258,               0.004258
                     60,                0.57715,                0.29983,                 1.0217,                0.99762,                 0.9957,                0.99481,                0.91782,                 0.4626,                0.19788,                0.93151,               0.004159,               0.004159,               0.004159
                     61,                0.57495,                0.29733,                 1.0199,                0.99828,                0.99644,                0.99479,                0.91885,                  0.463,                0.19916,                0.93232,                0.00406,                0.00406,                0.00406
                     62,                0.57514,                0.29886,                 1.0205,                0.99752,                0.99644,                0.99476,                0.91892,                0.46171,                0.19968,                0.93058,               0.003961,               0.003961,               0.003961
                     63,                0.56716,                0.29374,                 1.0148,                0.99759,                0.99644,                 0.9948,                0.91813,                0.45984,                0.19851,                0.93008,               0.003862,               0.003862,               0.003862
                     64,                0.57038,                0.29417,                 1.0178,                0.99757,                0.99644,                0.99479,                0.91767,                0.46142,                0.19626,                0.93069,               0.003763,               0.003763,               0.003763
                     65,                0.56685,                0.29367,                  1.016,                0.99734,                0.99644,                0.99475,                0.91955,                0.46198,                0.19598,                0.93124,               0.003664,               0.003664,               0.003664
                     66,                0.56556,                0.28972,                 1.0125,                0.99746,                0.99644,                0.99475,                0.91898,                0.46132,                0.19358,                 0.9301,               0.003565,               0.003565,               0.003565
                     67,                0.56524,                0.28925,                  1.015,                0.99743,                0.99644,                0.99475,                0.92084,                0.45958,                0.19446,                0.93053,               0.003466,               0.003466,               0.003466
                     68,                0.56239,                0.28768,                 1.0125,                0.99748,                0.99644,                0.99476,                0.91895,                0.46001,                 0.1957,                0.93045,               0.003367,               0.003367,               0.003367
                     69,                0.55881,                0.28491,                 1.0116,                0.99743,                0.99644,                0.99476,                0.91793,                0.46032,                0.19622,                0.93043,               0.003268,               0.003268,               0.003268
                     70,                0.56141,                0.28494,                 1.0111,                 0.9975,                0.99644,                0.99477,                0.91826,                0.46026,                0.19494,                0.93097,               0.003169,               0.003169,               0.003169
                     71,                0.55513,                0.28342,                 1.0093,                0.99751,                0.99644,                0.99478,                0.91876,                0.45929,                0.19426,                0.93061,                0.00307,                0.00307,                0.00307
                     72,                0.55404,                0.28289,                 1.0045,                0.99748,                0.99644,                0.99478,                0.91836,                0.45896,                0.19202,                0.93009,               0.002971,               0.002971,               0.002971
                     73,                0.55063,                0.27763,                  1.007,                0.99747,                0.99644,                0.99477,                 0.9178,                0.45817,                0.19269,                 0.9301,               0.002872,               0.002872,               0.002872
                     74,                0.55211,                 0.2797,                 1.0067,                0.99749,                0.99644,                0.99477,                0.91926,                0.45807,                0.19272,                0.92988,               0.002773,               0.002773,               0.002773
                     75,                0.54533,                0.27363,                0.99866,                 0.9975,                0.99644,                0.99477,                0.91888,                0.45824,                0.19253,                0.93009,               0.002674,               0.002674,               0.002674
                     76,                0.54481,                0.27367,                 1.0004,                 0.9974,                0.99644,                0.99476,                0.91893,                0.45812,                0.19212,                0.92976,               0.002575,               0.002575,               0.002575
                     77,                0.54354,                0.27215,                0.99854,                0.99734,                0.99644,                0.99475,                 0.9203,                0.45871,                0.19129,                0.92959,               0.002476,               0.002476,               0.002476
                     78,                0.53868,                0.26998,                 0.9961,                0.99728,                0.99644,                0.99475,                0.92007,                0.45872,                0.19116,                0.92891,               0.002377,               0.002377,               0.002377
                     79,                0.53898,                0.27157,                0.99731,                0.99762,                 0.9953,                0.99475,                0.91955,                0.45838,                0.19016,                0.92852,               0.002278,               0.002278,               0.002278
                     80,                0.53539,                0.26942,                0.99488,                0.99762,                0.99546,                0.99475,                0.91985,                0.45816,                0.19046,                0.92812,               0.002179,               0.002179,               0.002179
                     81,                0.53727,                0.26996,                0.99535,                0.99762,                0.99555,                0.99475,                0.91872,                0.45761,                0.19117,                0.92803,                0.00208,                0.00208,                0.00208
                     82,                0.53201,                0.26704,                0.99022,                0.99762,                0.99593,                0.99474,                0.92025,                0.45771,                0.19047,                0.92783,               0.001981,               0.001981,               0.001981
                     83,                 0.5275,                0.26401,                 0.9886,                0.99762,                0.99597,                0.99475,                0.92021,                0.45744,                0.18957,                0.92783,               0.001882,               0.001882,               0.001882
                     84,                0.53425,                0.26631,                0.99435,                0.99762,                0.99591,                0.99475,                0.91979,                0.45716,                0.18953,                0.92779,               0.001783,               0.001783,               0.001783
                     85,                0.53056,                0.26443,                0.98957,                0.99762,                0.99594,                0.99474,                0.91939,                0.45729,                 0.1894,                0.92812,               0.001684,               0.001684,               0.001684
                     86,                0.52847,                0.26165,                0.98642,                0.99762,                0.99596,                0.99473,                0.91909,                  0.457,                0.18854,                0.92798,               0.001585,               0.001585,               0.001585
                     87,                0.52533,                0.26018,                0.98694,                0.99822,                0.99568,                0.99473,                0.91932,                0.45675,                0.18815,                0.92762,               0.001486,               0.001486,               0.001486
                     88,                0.52246,                0.25712,                0.98602,                0.99821,                0.99565,                0.99473,                0.91857,                0.45649,                 0.1882,                0.92732,               0.001387,               0.001387,               0.001387
                     89,                0.52309,                0.25664,                 0.9883,                0.99821,                0.99561,                0.99473,                0.91943,                0.45617,                0.18868,                0.92714,               0.001288,               0.001288,               0.001288
                     90,                0.51692,                0.25602,                0.98528,                0.99821,                 0.9956,                0.99473,                0.91949,                0.45603,                0.18833,                0.92733,               0.001189,               0.001189,               0.001189
                     91,                0.47556,                0.21519,                0.93053,                0.99821,                 0.9956,                0.99473,                0.91922,                 0.4558,                0.18777,                0.92746,                0.00109,                0.00109,                0.00109
                     92,                0.47196,                 0.2119,                0.93084,                0.99762,                  0.996,                0.99473,                0.91964,                0.45583,                0.18772,                 0.9276,               0.000991,               0.000991,               0.000991
                     93,                0.46853,                0.21022,                 0.9261,                0.99821,                0.99563,                0.99473,                0.91949,                0.45579,                0.18778,                0.92756,               0.000892,               0.000892,               0.000892
                     94,                0.46717,                0.21017,                0.92192,                0.99762,                0.99604,                0.99473,                0.91932,                0.45563,                0.18772,                0.92743,               0.000793,               0.000793,               0.000793
                     95,                0.46593,                0.20799,                0.92574,                0.99762,                0.99608,                0.99473,                0.91925,                0.45565,                0.18668,                0.92718,               0.000694,               0.000694,               0.000694
                     96,                0.46513,                0.20653,                0.92506,                0.99762,                0.99611,                0.99473,                0.91985,                0.45548,                0.18673,                0.92689,               0.000595,               0.000595,               0.000595
